value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 16 4 18 24 20 21 22 23 24 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 47 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 16 4 18 24 20 16 22 23 24 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 47 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 16 4 32 24 20 16 22 23 24 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 47 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 16 4 32 24 20 16 22 23 24 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 22 23 24 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 4 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 22 23 14 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 22 23 14 25 26 36 8 29 30 27 32 33 0 35 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 22 23 14 25 26 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 22 23 14 25 26 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 33 23 14 25 26 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 33 14 14 25 26 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 49 

connect.
value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 33 14 14 25 26 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 32 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 14 15 38 4 32 24 20 16 33 14 14 25 44 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 32 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 7 15 38 4 32 24 20 16 33 14 14 25 44 36 8 29 30 27 32 33 0 44 36 37 38 39 40 17 32 43 44 42 46 26 48 32 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 7 8 9 10 17 14 13 7 15 38 4 32 24 20 16 33 14 14 25 44 36 8 29 30 27 32 33 0 44 36 9 38 39 40 17 32 43 44 42 46 26 48 32 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 32 8 9 10 17 14 13 7 15 38 4 32 24 20 16 33 14 14 25 44 36 8 29 30 27 32 33 0 44 36 9 38 39 40 17 32 43 44 42 46 26 48 32 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 49 49 45 6 32 8 9 10 17 14 13 7 15 38 4 32 24 20 16 33 14 14 25 44 36 8 8 30 27 32 33 0 44 36 9 38 39 40 17 32 43 44 42 46 26 48 32 

